name,CONML,gvkey_n,sdc_cusip
AAC Holdings Inc,AAC Holdings Inc,178698,000307
ABC-NACO Inc,ABC-Naco Inc,29395,000748
ACCO Brands Corp,ACCO Brands Corp,164506,00081T
ACNB Corp,ACNB Corp,17173,000868
ACT Teleconferencing Inc,ACT Teleconferencing Inc,62649,000955
ABM Industries Inc,ABM Industries Inc,1410,000957
ACT Manufacturing Inc,ACT Manufacturing Inc.,31661,000973
ACG Holdings Inc,ACG Holdings Inc.,128718,00098T
Aflac Inc,AFLAC Inc,1449,001055
Amb Property Corp,AMB Property Corp,65576,00163T
AMAG Pharmaceuticals Inc,AMAG Pharmaceuticals Inc,12250,00163U
AMC Networks Inc,AMC Networks Inc,187406,00164V
AMC Entertainment Holdings Inc,AMC Entertainment Holdings Inc,177637,00165C
AMCI Acquisition Corp,AMCI Acquisition Corp,34346,00165R
AMN Healthcare Services Inc,AMN Healthcare Services Inc.,144520,001744
ANC Rental Corp,ANC Rental Corp,137064,001813
ARI Network Services Inc,ARI Network Services Inc,24670,001930
AT&T Corp,AT&T Inc,9899,001957
AT&T Inc,AT&T Inc,9899,00206R
ATP Oil & Gas Corp,ATP Oil & Gas Corp,141982,00208J
AT&T Wireless Services Inc,AT&T Wireless Services Inc,134845,00209A
A10 Networks Inc,A10 Networks Inc,19849,002121
AXA Financial Inc,AXA Financial Inc,25573,002451
Abaxis Inc,ABAXIS Inc,24888,002567
Abakan Inc,Abakan Inc,178152,00258J
AbbVie Inc,AbbVie Inc,16101,00287Y
Asia SuperNet Corp,Asia Supernet Corp,1332,00315R
ABIOMED Inc,ABIOMED Inc,13619,003654
Abraxis BioScience Inc,Abraxis BioScience Inc,178855,00383E
Acacia Research Corp,Acacia Research Corp,61004,003881
Acadia Pharmaceuticals,Acadia Pharmaceuticals Inc,141846,004225
Acamar Partners Acquisition,Acamar Partners Acquisition Corp,34615,004285
Access National Corp,Access National Corp,160891,004337
Chubb Ltd,Chubb Ltd,28034,004408
Aclaris Therapeutics Inc,Aclaris Therapeutics Inc,25904,00461U
ACME Communications Inc,ACME Communications Inc,124374,004631
Acme Metals Inc,Acme Metals Inc,12569,004724
Acme United Corp,Acme United Corp,1104,004816
Acterna Corp,Acterna Corp,4132,00503U
ActiveCare Inc,ActiveCare Inc,184227,005057
Acuity Brands Inc,Acuity Brands Inc.,146017,00508Y
Adams Outdoor Advertising LP,Adams Outdoor Advertising  LP,64771,00634V
AdaptHealth Corp,AdaptHealth Corp,35852,00653Q
Addus HomeCare Corp,Addus HomeCare Corp,183283,006739
Adelphia Business Solutions,Adelphia Business Solutions,106881,006847
Adelphia Communications Corp,Adelphia Communications Corp,12484,006848
Adept Technology Inc,Adept Technology Inc,61726,006854
Adesto Technologies Corp,Adesto Technologies Corp,26187,00687D
Adobe Inc,Adobe Inc,12540,00724F
Advanced Tissue Sciences Inc,Advanced Tissue Sciences Inc,14836,00755F
Advant-e Corp,Advant-E Corp,61273,00761J
AeroCentury Corp,AeroCentury Corp,66301,007737
Adverum Biotechnologies Inc,Adverum Biotechnologies Inc,21020,00773U
Advanced Drainage Systems Inc,Advanced Drainage Systems Inc,20126,00790R
Advanced Energy Industries Inc,Advanced Energy Industries Inc.,61562,007973
AeroVironment Inc,AeroVironment Inc,176362,008073
Aetna Inc,Aetna Inc.,1177,00817Y
Affiliated Managers Group Inc,Affiliated Managers Group Inc.,65886,008252
Agilent Technologies Inc,Agilent Technologies Inc,126554,00846U
